-0.86, -0.34, 0.63, 0.92, -0.51, -1.5, -2.67, 1.59;-0.74, -0.11, 1.66, -0.07, -0.65, -1.6, -0.89, 0.48;0.24, -0.23, 0.64, 0.59, -1.56, -2.28, -0.96, 2.1;-0.39, -0.09, 1.73, -0.44, -1.78, -2.34, 1.42, 0.22;-1112419, -1211867, 1221129, -2339859, 1486283, 1768923, -95804, -1936649;AAL;50.91,51.98,50.89,51.4,4845831
-1.84, -4.63, 1.34, 0.29, -1.16, -6.9, -4.27, 8.25;-1.84, -2.79, 1.07, 0.18, -1.82, -2.92, -0.16, -0.32;-2.99, -2.37, 1.8, 0.26, -6.66, -4.1, -2.0, 5.07;-3.55, -0.99, 0.46, 0.35, -7.28, -4.01, 6.54, -3.49;11497395, -4592221, -13569255, 14751857, 39363038, -13855303, -4494684, -16635258;AAPL;163.085,163.4,159.0685,159.54,51608580
0.18, -1.95, -1.71, -3.62, -0.32, -2.87, -4.77, 3.81;-0.27, -0.93, -2.23, -1.64, -1.65, -2.21, -1.86, 1.47;1.06, -5.14, -1.75, 0.0, -2.7, -3.31, -3.06, 3.16;-0.75, -3.62, -2.28, 0.3, -3.36, -4.07, 2.34, -2.27;-84691, 485972, -653938, -475104, 331704, 189259, -40808, 922761;AAP;112.09,114.5799,109.9,109.93,2163545
7.0, -2.08, -3.21, -3.97, 3.26, -2.5, -8.09, 6.61;-1.71, -2.7, -4.95, 1.03, 0.4, -2.4, -2.02, 3.33;5.48, -3.11, -4.58, 0.94, 2.69, -5.52, -8.4, 10.38;-0.9, -6.43, -3.66, 4.12, -1.17, -5.66, 1.69, 2.42;-9431792, 1668759, 3893362, -5801357, -2759039, 2643412, 4280004, -4076992;ABBV;111.52,116.85,111.38,113.62,10030837
0.58, -3.14, 0.98, -5.24, 1.35, -3.47, -3.04, -0.98;0.54, -2.62, -0.61, -3.23, -0.72, -2.57, -3.15, 1.97;0.75, -4.83, -0.97, -3.33, 0.18, -4.22, -4.75, 4.16;-0.39, -2.63, -2.79, -0.38, -3.27, -4.12, -0.36, 2.68;-30303, 1690947, -655308, 328165, -1126531, 618267, 2296463, -2065513;ABC;91.6,95.34,91.1,94.22,2509484
-0.06, -0.65, 0.22, -0.91, 0.45, -0.6, -3.68, 0.68;0.03, -0.35, -0.36, -0.22, -0.12, -0.55, -2.61, 0.59;0.18, -0.56, -0.44, -0.19, -0.02, -3.09, -1.22, 1.17;-0.11, -0.87, -0.28, 0.02, -0.49, -2.96, 0.13, -0.19;-1604256, -2140900, 1306721, 297222, 4244958, -798313, 3666450, -8342016;ABT;58.6,59.85,58.5,58.67,6872663
1.08, -1.37, -0.87, 0.06, -0.18, -3.86, -5.83, 3.93;0.02, -1.44, -0.22, 0.19, -0.86, -1.0, -4.09, 3.75;0.64, -1.86, 0.62, -0.19, -2.91, -5.9, -1.3, 3.64;-1.36, -1.49, 1.0, -0.24, -3.56, -5.07, 2.86, 0.46;-635808, 385118, 178336, -185725, 491035, 1550100, 525923, -1340975;ACN;154.22,158.93,153.07,155.15,2918659
1.61, -2.86, -0.12, 1.99, -1.79, -3.27, -7.47, 7.28;-0.69, -3.13, 3.23, 0.79, -2.35, -0.94, -3.64, 1.42;-0.38, -2.98, 1.86, 1.33, -2.64, -7.44, -5.9, 9.92;-3.07, -1.33, 2.86, -0.38, -3.74, -5.37, 4.2, -2.13;-399102, 1404370, -595772, -381456, 447665, 987561, 678614, -1491936;ADBE;193.87,196.24,192.02,192.34,2988024
0.11, -0.43, -0.88, -0.64, -0.51, -1.99, -4.55, 2.55;0.27, -1.05, -0.84, 0.03, -1.29, -1.68, -0.9, -0.76;-0.17, -1.05, 0.06, -0.17, -2.19, -3.73, -2.57, 2.53;-0.06, -2.23, 0.33, -0.23, -2.54, -3.71, 3.14, -3.19;-1674131, 606794, -222940, -1149827, 610444, 894816, 1623358, -885009;ADI;86.75,87.95,85.29,85.35,4555784
0.48, -0.54, -0.16, 0.09, -0.73, 0.2, -2.03, 2.1;-0.19, -0.38, 0.1, -0.23, -0.86, 0.41, -0.29, 0.8;0.49, -0.86, 0.28, -0.22, -0.9, -0.89, -0.31, 1.97;-0.48, -0.63, 0.47, -0.49, -1.03, -0.83, 1.4, 0.19;-1595363, 428356, 2324941, -2289233, 94692, 2023826, 819713, -1271814;ADM;42.31,43.05,42.17,42.19,4587806
0.7, -0.91, -0.84, 2.32, -2.79, -0.82, -6.57, -0.32;-0.53, -0.38, 3.51, -2.65, -1.62, -1.33, -6.06, 2.1;0.03, -1.12, 0.66, -1.07, -0.71, -4.88, -3.31, 1.39;-1.57, 0.05, 2.82, -3.21, -1.85, -4.5, -1.12, 0.61;174938, 381486, 1694502, -860140, 348024, 82, 476116, -754053;ADP;112.09,115.68,111.69,113.56,2625896
0.15, -2.24, 0.19, -0.93, -0.6, -3.52, -4.11, 5.28;-0.38, -2.12, 0.29, 1.06, -2.56, 1.01, -3.5, 0.91;-0.93, -2.42, 1.13, -0.82, -2.48, -2.42, -4.57, 5.9;-1.4, -1.36, 0.6, -0.05, -3.93, -2.46, 3.44, -2.08;-777472, 497560, -436554, 476620, 211889, 1082449, 254041, -1545157;ADSK;111.77,113.56,110.51,110.54,1599666
5.97, -5.72, 1.98, 0.28, -1.13, -7.95, -13.61, 6.51;-1.35, -3.54, 2.08, -1.95, -2.09, -6.41, -7.0, 7.23;2.0, -1.5, 1.03, -0.66, -4.46, -11.21, -5.95, 7.33;-5.34, -1.92, 2.07, 0.45, -7.2, -11.13, 2.69, 5.28;26430, -260022, -154482, -208444, 159717, 518409, 192660, -323237;ADS;240.08,249.73,240.08,246.75,828933
-0.28, -0.68, 0.21, 0.5, -1.71, 0.01, -1.4, -0.52;-0.46, -0.3, 0.41, -0.12, -1.21, 0.13, -1.88, 0.16;-0.4, -0.13, 0.05, -0.82, -0.19, -0.76, -2.12, 0.91;-1.04, 0.21, 0.54, -1.42, -0.32, -0.74, -1.15, 0.19;-346181, 29234, 766945, 1100499, -1726519, 481080, 499162, 249138;AEE;53.0,53.82,52.8,53.19,2669942
-1.06, -0.55, 0.49, 0.28, -1.0, 0.08, -2.37, -0.53;-1.11, 0.1, 0.13, 0.13, -0.75, 0.19, -2.55, -0.43;-0.65, 0.3, -0.16, -0.15, -0.14, -1.22, -2.36, 0.42;-0.85, 0.45, 0.43, -0.94, -0.09, -1.27, -1.57, -0.46;895501, -1580108, -461581, -785826, -168392, 1346303, 3725908, -1944730;AEP;64.92,65.44,64.36,64.45,5927662
0.13, 0.1, -0.23, 0.04, -0.24, -0.24, -0.71, 0.2;0.18, -0.07, -0.21, 0.04, -0.18, -0.37, -0.48, 0.14;0.12, -0.04, -0.06, -0.05, -0.35, -0.57, -0.39, 0.31;0.09, -0.2, -0.05, -0.05, -0.39, -0.52, -0.02, -0.1;3766278, -299614, 11921350, -17728124, 3339012, 5643823, -4067824, -2909789;AES;10.6,10.78,10.465,10.48,8786251
0.24, -6.7, 2.39, -2.13, 0.18, -2.21, -5.13, 2.13;1.3, -4.61, 0.78, -1.72, -1.46, -2.0, -1.88, 0.61;1.0, -7.15, 1.41, -0.66, -1.59, -3.79, -1.98, 2.59;0.64, -5.85, -1.07, 0.57, -2.39, -4.05, 1.06, -0.52;-1378940, 5059962, -2998163, -829050, -397364, 797625, 453450, -1326569;AET;181.49,184.12,181.39,181.49,2123860
1.37, -1.68, -0.45, -0.07, 1.01, -0.93, -3.92, 0.7;-0.03, -1.8, -0.32, 1.81, -0.13, -1.46, -3.12, 1.12;0.04, -1.0, -0.67, 0.61, 0.43, -2.77, -2.67, 1.89;-1.44, -0.98, -0.37, 1.49, -0.74, -2.74, -0.59, -0.02;71915, 155986, 271823, 1174439, -1361753, 95059, 1297337, -1419092;AFL;85.44,87.1099,85.27,85.6,2321841
2.7, -5.79, 0.19, -4.36, -2.24, -5.84, -5.6, 2.63;2.52, -3.81, -1.26, -3.92, -2.83, -5.69, 2.57, -2.02;2.68, -4.65, -2.73, -1.52, -5.81, -7.3, -4.7, 6.77;0.37, -2.92, -4.12, -1.72, -6.03, -7.51, 3.33, 2.06;756458, -384388, 586534, -826836, 1281970, 1265113, 3632818, -4563703;AGN;168.93,172.98,167.07,170.39,3722660
0.02, -1.07, 0.1, 0.07, 0.14, -1.59, -2.61, 0.32;0.14, -0.73, -0.22, 0.17, -0.31, -1.37, -1.92, 0.62;-0.02, -1.11, 0.23, -0.05, -0.43, -2.42, -1.41, 0.64;-0.42, -0.91, 0.57, 0.25, -1.13, -2.41, -0.37, 0.21;-743685, 285209, 353800, -788757, 173702, 4283768, 3457517, -4315930;AIG;60.0,61.3,59.68,60.47,7719767
-0.48, -0.9, -0.05, 0.96, -1.48, -0.02, -1.11, 0.26;-0.54, -0.46, 0.4, 0.26, -1.22, -0.01, -1.02, 0.39;-0.42, -0.44, -0.03, -0.12, -1.23, 0.11, -0.81, 0.36;-0.65, -0.5, 0.89, -1.04, -0.25, -0.88, -0.05, -0.41;302702, -219996, 18980, 383345, 345238, 31034, 439804, -1257892;AIV;39.56,40.28,39.21,39.21,1042133
0.28, -1.67, -1.74, -0.75, 1.81, -2.28, -4.22, 1.33;0.25, -2.04, -1.48, 0.7, -0.06, -1.39, -2.97, 0.7;-0.48, -2.19, -0.8, -0.09, 0.16, -3.23, -2.24, 1.3;-1.14, -2.24, -0.63, 1.58, -1.11, -3.77, 0.31, 0.0;51695, 115668, 39712, -89388, 228153, -74892, 68343, -85294;AIZ;88.04,89.72,87.21,88.49,455944
2.91, -0.68, -0.15, -1.08, 0.59, -0.66, -3.21, 0.34;0.06, -0.15, -0.43, -0.65, 0.43, -0.94, -2.69, 1.13;2.46, -0.27, -1.51, 0.24, 0.52, -2.35, -2.11, 1.13;-0.72, -0.44, -1.01, 0.87, -0.62, -2.3, -0.87, 0.71;-1314875, -251393, 69981, -257145, -256192, 928346, 645679, -1176107;AJG;65.36,67.25,65.23,66.11,1247795
0.29, -0.83, 0.44, -0.58, 0.86, -1.94, -3.64, 6.05;-0.14, -0.53, 1.1, -0.4, -0.6, -1.3, -1.96, 4.61;0.01, -1.0, 0.61, -0.84, -0.38, -2.68, -1.28, 2.9;-0.37, -0.69, 0.43, 0.57, -1.84, -2.91, 0.86, 0.81;-188978, 559797, 87354, -525792, 210705, 497376, 1100913, 6385801;AKAM;67.75,68.65,64.31,64.48,9634937
-2.77, -1.85, -0.53, -0.93, -2.4, -4.24, -0.77, 3.95;-3.36, -0.72, -1.66, -0.51, -2.45, 0.78, -1.38, 0.96;-2.7, -0.26, -0.8, -1.29, -4.04, -2.07, 0.46, 3.25;-2.73, -0.31, 0.22, -2.39, -3.69, -0.36, 2.39, -0.91;334085, -104805, 460194, -644169, 776547, 1099389, -934076, -1235641;ALB;107.46,109.48,106.56,106.63,1668253
9.29, -14.0, -9.44, 0.58, -10.02, 0.64, -19.5, 8.29;-2.35, -12.97, -1.4, -7.95, -0.08, -3.43, -13.49, -3.43;-5.11, -23.16, 3.21, 3.99, -1.34, -9.2, -13.66, 5.6;-7.2, -6.69, -8.08, -6.43, 1.81, -14.98, -0.95, -7.12;452533, 866167, 1560049, -2275793, -112782, 255322, 405269, -1122714;ALGN;241.0,242.22,233.6,234.33,1160687
2.01, -0.02, 0.14, 1.16, -0.34, -1.34, -1.62, 0.9;1.34, -0.9, 2.0, -1.18, 0.03, -0.79, -1.44, 1.31;2.64, -0.38, 0.61, -0.34, -0.02, -1.31, -1.63, 1.96;0.94, -1.28, 1.53, -1.65, 0.48, -1.82, 0.45, 1.04;-271214, -1025113, 965514, -1150357, 3208130, -119267, -792232, -2763949;ALK;63.14,64.96,63.04,64.23,2025459
0.45, -0.12, -0.55, 0.21, -1.37, -2.98, -3.84, 2.09;0.66, -0.43, 0.18, 0.17, -2.39, -2.25, -1.42, 0.27;0.81, -0.72, 0.07, -0.72, -3.37, -2.41, -2.25, 2.98;0.31, -1.24, 0.67, -0.94, -3.32, -2.74, 1.0, -0.15;-4145, -63406, 375138, -373907, 367928, 65829, 169897, -553789;ALLE;79.74,81.2,79.74,79.96,578408
-0.69, -2.51, 0.76, 0.07, 0.05, -1.35, -3.62, 2.49;-1.03, -1.29, 0.07, -0.02, 0.71, -1.37, -1.72, 1.33;-1.89, -0.58, 0.92, -0.33, -0.17, -2.82, -2.3, 3.2;-2.49, 0.41, 0.32, -0.05, -0.78, -2.92, 1.58, 0.27;-561408, -115571, 46501, 275843, -121717, 2582784, -571108, -1138083;ALL;96.14,98.295,95.9151,96.87,3174347
1.76, -1.14, -3.85, -3.89, -1.03, -0.16, -6.61, 3.3;0.17, -0.94, -4.77, -3.2, -1.55, 0.63, -3.46, 3.97;0.85, -3.93, -3.13, -2.3, -1.27, -2.92, -3.09, 3.98;-1.3, -4.43, -3.04, -1.23, -1.94, -3.43, 2.19, 2.24;-250242, 440312, 388217, 618554, -1317733, 661430, 43657, 601513;ALXN;113.95,119.12,113.59,117.15,2695826
0.31, -2.45, -0.6, -0.52, -0.58, -2.6, -2.57, 2.46;-0.2, -2.59, -0.19, 0.04, -1.39, -1.32, -1.21, 0.32;-1.11, -1.61, -0.3, 0.02, -2.41, -2.21, -1.91, 2.27;-1.79, -1.95, 0.25, -0.35, -2.6, -2.37, 1.94, -1.56;1097078, 2253123, -1436901, -3460798, 7107118, 1186577, 3456001, -6692328;AMAT;49.87,50.58,48.67,48.69,14763371
