0.02, -1.07, 0.1, 0.07, 0.14, -1.59, -2.61, 0.32;0.14, -0.73, -0.22, 0.17, -0.31, -1.37, -1.92, 0.62;-0.02, -1.11, 0.23, -0.05, -0.43, -2.42, -1.41, 0.64;-0.42, -0.91, 0.57, 0.25, -1.13, -2.41, -0.37, 0.21;-743685, 285209, 353800, -788757, 173702, 4283768, 3457517, -4315930;AIG;60.0,61.3,59.68,60.47,7719767
17.17, -6.01, 48.13, -6.3, 32.39, -74.77, -41.16, 87.54;28.86, 7.86, 33.33, -12.7, 38.12, -39.02, -14.99, 17.0;19.53, -8.44, 58.04, -64.9, 28.86, -93.28, 31.07, 63.36;15.63, 20.14, 13.07, -60.89, 39.95, -39.95, 52.84, -26.06;844588, 170044, 552751, 2689115, 2011914, 369263, -428166, -3904078;AMZN;1449.0,1460.99,1415.15,1416.78,7162741
-1.14, -7.03, 8.75, -8.28, -4.95, -2.09, -9.06, 13.14;-1.46, -4.46, 8.11, -7.24, -7.94, 6.04, -3.6, 2.7;-1.75, -6.48, 7.85, -6.76, -4.01, -6.49, -2.7, 12.1;-5.32, -4.49, 7.05, -9.24, -3.31, -7.38, 12.28, -3.0;138651, -439874, 3447959, -1363060, -849885, 1242414, 696777, -3726936;AVGO;238.76,243.1,237.0,237.38,4047486
0.31, -0.24, -0.26, 0.04, -0.49, -0.74, -1.57, 0.62;0.57, -0.64, -0.2, -0.13, -0.59, -0.48, -1.09, 0.72;0.52, -0.35, -0.2, -0.14, -0.83, -1.04, -0.9, 0.9;-0.29, -0.35, 0.14, -0.39, -0.9, -1.06, 0.06, 0.18;208111, -706624, -777232, -665180, 777343, 744507, 1490157, -1787698;CAG;35.72,36.66,35.65,35.89,3871827
0.89, -1.76, 0.96, -1.83, 3.61, -5.34, -0.51, 3.94;0.35, -1.0, 0.57, -1.35, 2.32, -1.7, 0.7, -0.24;0.29, -0.9, -1.13, -0.22, -0.84, -0.49, -0.86, 2.31;-1.11, 0.03, -1.67, -0.4, -0.17, -0.09, 2.92, -2.51;-213380, -56220, 706591, 73643, 1181042, 330907, -64373, -710444;EL;136.83,137.5,133.985,134.71,2835714
-0.3, -1.6, -0.83, -1.92, 1.1, -3.02, -1.96, 3.76;-0.55, -1.41, -0.72, 1.02, -1.8, -0.6, -0.02, 4.22;-1.48, -1.4, -0.91, 0.18, -1.28, -1.46, -1.36, 3.38;-1.36, -1.51, -0.88, 1.1, -2.47, -1.59, 2.23, 2.05;-241985, 141063, -103572, 861923, -287078, 1318612, 343240, -412923;EXPE;127.13,132.441,126.53,129.33,3157948
1.93, 0.0, 2.83, 3.68, -1.73, -0.29, -8.97, 5.58;0.42, 1.57, 3.37, 1.39, -0.64, -1.42, -3.87, 2.39;1.19, 0.19, 2.77, 3.12, -0.57, -6.69, -3.0, 5.84;0.65, 2.06, 3.59, 0.49, -0.9, -7.95, 3.55, 1.66;-1025574, 147482, 156455, -121369, 69769, 51744, 98522, -452508;FFIV;139.16,142.46,138.98,141.39,933167
0.41, -2.07, 0.18, -1.45, 0.36, -0.42, -1.86, 0.54;0.21, -1.66, -0.4, -0.59, -0.32, -0.23, -1.28, 0.29;0.28, -2.94, -0.11, -0.32, 0.48, -1.48, -0.81, 0.65;-0.13, -1.92, -1.11, 0.47, -0.41, -1.5, 0.02, 0.02;81550, 10452336, -1640029, -6376132, -2095070, 4402333, 6056422, -5815924;GLW;29.66,30.4,29.6,29.82,11510843
3.7, 4.79, 0.45, -1.25, 0.79, -2.61, -4.3, 3.63;1.3, 8.42, -3.66, 0.39, -1.32, -2.5, -0.62, 1.17;3.64, 4.64, -0.76, 0.05, -0.7, -3.97, -1.51, 3.89;0.55, 3.83, -0.29, 1.08, -2.55, -3.8, 2.82, -0.31;-13200, 2953850, -2828860, -539925, -775993, 252999, 683138, -1458646;HCA;98.26,100.3,98.0,98.4,1895121
5.4, -0.23, -0.74, -8.57, 6.07, -2.03, -18.58, 4.58;1.23, -2.44, -0.74, -2.48, 1.66, -3.32, -12.44, 8.81;7.69, -4.71, -4.58, 0.23, 3.55, -15.15, -4.32, 5.7;-0.06, -2.91, -7.25, 3.93, 2.3, -15.16, -0.94, 7.15;670136, -380994, -108408, -110164, 48950, 161994, 36972, -349045;HII;227.67,238.435,227.41,234.82,364670
0.11, 0.19, -0.26, -0.19, 0.26, -0.13, -1.26, 0.4;0.23, -0.16, -0.22, 0.19, 0.05, -0.28, -0.83, -0.03;0.07, -0.23, -0.09, 0.01, 0.2, -0.87, -0.69, 0.37;0.26, -0.43, -0.14, 0.39, -0.14, -0.99, 0.07, -0.17;774698, 665154, 1217103, 1075416, -160827, 2504155, 388689, -3114221;HPE;15.67,15.785,15.33,15.56,13112576
-0.13, -0.31, 0.04, -0.11, -0.32, -0.39, -1.01, 0.32;-0.09, -0.28, 0.18, -0.22, -0.35, -0.34, -0.67, 0.25;-0.18, -0.17, -0.09, -0.17, -0.43, -0.8, -0.47, 0.54;-0.29, -0.12, -0.07, -0.19, -0.46, -0.76, 0.07, 0.03;263702, 837328, 5024928, -4118761, 451553, 2676164, 3632235, -5708491;HST;19.36,19.78,19.3,19.45,6285763
