date,name,predicted open price,predicted high price,predicted low price,predicted close price,predicted volume
2-8-2018,AIG,61.5,62.12,59.98,61.83,6604326
2-8-2018,AMZN,1447.41,1468.58,1402.53,1409.63,7721176
2-8-2018,AVGO,239,242.96,236.74,237.71,3356762
2-8-2018,CAG,36.74,36.86,36.22,35.48,4522900
2-8-2018,EL,136.4,137.38,135.805,135.38,3086738
2-8-2018,EXPE,126.73,132.051,129.08,127.77,2508741
2-8-2018,FFIV,138.7,143.07,139.42,140.25,527588
2-8-2018,GLW,29.73,30.64,29.58,29.93,11790762
2-8-2018,HCA,96.35,99.95,98.03,98.62,1504138
2-8-2018,HII,227.66,239.385,227.69,234.54,239682
2-8-2018,HPE,15.47,15.385,14.63,15.1,12311295
2-8-2018,HST,19.37,20.11,19.64,19.93,9090235
2-8-2018,ICE,70.23,72.94,70.8,71.44,4460502
2-8-2018,INTC,44.18,46.32,44.42,45.76,53988225
2-8-2018,KHC,72.92,74.16,73.29,72.63,6138465
2-8-2018,KR,28.79,29.41,28.725,28.89,6121266
2-8-2018,MAC,59.47,61.82,59.35,60.02,940758
2-8-2018,MDLZ,43.99,44.45,44.12,43.81,12672266
2-8-2018,VRSK,95.3,96.17,94.99,95.66,648668
2-8-2018,WM,81.4,83.31,82.03,81.49,3584113
2-8-2018,XL,38.8,42.85,38.3,42.07,21632675
